tensor(3.3347, grad_fn=<NllLoss2DBackward>)
tensor(3.1391, grad_fn=<NllLoss2DBackward>)
tensor(3.0021, grad_fn=<NllLoss2DBackward>)
tensor(3.1643, grad_fn=<NllLoss2DBackward>)
tensor(2.8003, grad_fn=<NllLoss2DBackward>)
tensor(2.9303, grad_fn=<NllLoss2DBackward>)
tensor(2.9166, grad_fn=<NllLoss2DBackward>)
tensor(3.0174, grad_fn=<NllLoss2DBackward>)
tensor(2.4215, grad_fn=<NllLoss2DBackward>)
tensor(2.9955, grad_fn=<NllLoss2DBackward>)
tensor(3.1948, grad_fn=<NllLoss2DBackward>)
tensor(2.9399, grad_fn=<NllLoss2DBackward>)
tensor(2.6091, grad_fn=<NllLoss2DBackward>)
tensor(3.1607, grad_fn=<NllLoss2DBackward>)
tensor(2.4134, grad_fn=<NllLoss2DBackward>)
tensor(3.3340, grad_fn=<NllLoss2DBackward>)
tensor(2.5732, grad_fn=<NllLoss2DBackward>)
